#rno k i j rlen rwid rgrd rtp rbth rhk man ncon ustrf ndv line_id
141 1 687 507 125.97571 7.26072885435474 0.0004169685281182 197.74423229678328 1 0.2 0.0370000004768371 2 1.0 0 13436455
142 1 687 506 224.89012 7.280083021399166 0.0002292437217263 197.6917043912366 1 0.2 0.0370000004768371 2 1.0 0 13436455
143 1 686 505 119.47476 7.29907858703444 0.0004086664058034 197.64014974281363 1 0.2 0.0370000004768371 2 1.0 0 13436455
144 1 686 504 206.65929 7.3170685186631665 0.0002994187676832 197.59132442125804 1 0.2 0.0370000004768371 2 1.0 0 13436455
145 1 686 503 206.65929 7.339867652335595 0.0002994187676833 197.5294467523642 1 0.2 0.0370000004768371 2 1.0 0 13436455
146 1 686 502 206.65929 7.362666786008024 0.0002855802019264 197.46756908347035 1 0.2 0.0370000004768371 2 1.0 0 13436455
147 1 684 545 135.70804 35.590323929429275 0.0003262398693268 199.3260085528072 1 1.0 0.0370000004768371 2 1.0 0 13434561
148 1 684 544 222.34929 35.595435623329536 0.0001883685735816 199.2817351801158 1 1.0 0.0370000004768371 2 1.0 0 13434561
149 1 636 568 201.213 9.224583742800636 0.0010217287115596 205.7056638686909 1 0.2 0.0370000004768371 2 1.0 0 13435139
150 1 637 568 201.213 9.24171005953964 0.0010217286728187 205.50007877207105 1 0.2 0.0370000004768371 2 1.0 0 13435139
151 1 638 568 201.213 9.258836375629263 0.0010217288277822 205.29449368324637 1 0.2 0.0370000004768371 2 1.0 0 13435139
152 1 639 568 201.213 9.275962694316403 0.0010217288277823 205.08890856324095 1 0.2 0.0370000004768371 2 1.0 0 13435139
153 1 640 568 201.213 9.293089013003543 0.00102167985929 204.8833234432356 1 0.2 0.0370000004768371 2 1.0 0 13435139
154 1 641 568 201.19363 9.31021451087602 0.0010167252695327 204.6777481763273 1 0.2 0.0370000004768371 2 1.0 0 13435139
155 1 642 569 199.22331 9.327255319377564 0.0010262122494369 204.47318952453665 1 0.2 0.0370000004768371 2 1.0 0 13435139
156 1 643 569 200.97162 9.344286693705532 0.0010217290605999 204.268744121001 1 0.2 0.0370000004768371 2 1.0 0 13435139
157 1 644 569 200.97162 9.361392471246022 0.0010217290605998 204.06340557786808 1 0.2 0.0370000004768371 2 1.0 0 13435139
158 1 645 569 200.97162 9.378498248786512 0.0010217290605999 203.8580670347352 1 0.2 0.0370000004768371 2 1.0 0 13435139
