per,nseg,icalc,outseg,iupseg,iprior,nstrpts,flow,runoff,etsw,pptsw,roughch,roughbk,cdpth,fdpth,awdth,bwdth,hcond1,thickm1,elevup,width1,depth1,thts1,thti1,eps1,uhc1,hcond2,thickm2,elevdn,width2,depth2,thts2,thti2,eps2,uhc2
0,595,1,608,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.04636,5.8741436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.04636,6.040151,0.0,0.0,0.0,0.0,0.0
0,596,1,609,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.00818,5.4782863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.00818,5.589662,0.0,0.0,0.0,0.0,0.0
0,597,1,610,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.98766,8.653429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.94235,8.788239,0.0,0.0,0.0,0.0,0.0
0,598,1,611,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.84781,14.5220585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.7958,14.695229,0.0,0.0,0.0,0.0,0.0
0,599,1,612,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.74442,8.471091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.71683,8.596449,0.0,0.0,0.0,0.0,0.0
0,600,1,614,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.4852,5.9844112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.4852,6.0249677,0.0,0.0,0.0,0.0,0.0
0,601,1,615,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.86575,24.86811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.74405,24.87625,0.0,0.0,0.0,0.0,0.0
0,602,1,616,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.32378,49.506832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.32378,49.53676,0.0,0.0,0.0,0.0,0.0
0,603,1,616,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.09225,12.937104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.6261,13.150232,0.0,0.0,0.0,0.0,0.0
0,604,1,617,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.78386,16.356714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.71913,16.501383,0.0,0.0,0.0,0.0,0.0
