per,k,i,j,q,boundname
0,8,803,308,-279.42177372633023,wel_1504
0,8,807,328,-279.42177372633023,wel_1505
0,8,810,329,-279.42177372633023,wel_1506
0,8,811,325,-279.42177372633023,wel_1507
0,8,808,324,-279.42177372633023,wel_1508
0,8,811,305,-279.42177372633023,wel_1509
0,8,813,307,-279.42177372633023,wel_1510
0,8,816,295,-279.42177372633023,wel_1511
0,8,813,274,-279.42177372633023,wel_1512
0,8,814,264,-279.42177372633023,wel_1513
0,8,816,261,-279.42177372633023,wel_1514
0,8,820,203,-279.42177372633023,wel_1515
0,8,822,205,-279.42177372633023,wel_1516
0,8,825,206,-279.42177372633023,wel_1517
0,8,826,191,-279.42177372633023,wel_1518
0,8,828,211,-279.42177372633023,wel_1519
0,8,832,215,-279.42177372633023,wel_1520
0,8,823,259,-279.42177372633023,wel_1521
0,8,822,263,-279.42177372633023,wel_1522
0,8,825,263,-279.42177372633023,wel_1523
0,8,824,286,-279.42177372633023,wel_1524
0,8,824,284,-279.42177372633023,wel_1525
0,8,820,286,-279.42177372633023,wel_1526
0,8,819,290,-279.42177372633023,wel_1527
0,8,819,293,-279.42177372633023,wel_1528
0,8,819,295,-279.42177372633023,wel_1529
0,8,823,295,-279.42177372633023,wel_1530
0,8,823,292,-279.42177372633023,wel_1531
0,8,820,305,-279.42177372633023,wel_1532
0,8,816,311,-279.42177372633023,wel_1533
0,8,818,316,-279.42177372633023,wel_1534
0,8,824,315,-279.42177372633023,wel_1535
0,8,828,317,-279.42177372633023,wel_1536
0,8,827,309,-279.42177372633023,wel_1537
0,8,830,307,-279.42177372633023,wel_1538
0,8,827,300,-279.42177372633023,wel_1539
0,8,830,298,-279.42177372633023,wel_1540
0,8,831,293,-279.42177372633023,wel_1541
0,8,827,293,-279.42177372633023,wel_1542
0,8,826,296,-279.42177372633023,wel_1543
0,8,828,287,-279.42177372633023,wel_1544
0,8,828,283,-279.42177372633023,wel_1545
0,8,816,309,-279.42177372633023,wel_1546
0,8,779,242,-279.42177372633023,wel_1547
0,8,776,274,-279.42177372633023,wel_1548
0,8,723,210,-279.42177372633023,wel_1549
0,8,723,206,-279.42177372633023,wel_1550
0,8,115,52,-279.42177372633023,wel_1551
0,8,172,80,-279.42177372633023,wel_1552
0,8,576,59,-46.92200244028408,wel_292193
0,8,282,36,-12.436670295274581,wel_400001
0,8,578,228,-2129.0024961723175,wel_400003
0,8,390,28,-1.813681084727543,wel_400029
0,8,735,19,-271.6749170435081,wel_400037
0,8,738,126,-1.7722255170766277,wel_400073
0,8,761,185,-11.503920023128988,wel_400074
0,8,709,195,-108.55140389392163,wel_400076
0,8,102,47,-566.8427042747899,wel_400082
0,8,73,79,-248.0110426391744,wel_400083
0,8,608,220,-523.6667305663617,wel_400178
0,8,564,185,-2297.281009159295,wel_400180
0,8,515,54,-1832.9731586063303,wel_400182
0,8,532,58,-1264.3036111040838,wel_400184
0,8,539,70,-230.04730878684154,wel_400185
0,8,526,102,-513.6033915191019,wel_400187
0,8,215,24,-623.3134785288667,wel_400818
0,8,261,109,-107.00718399892504,wel_400838
0,8,238,112,-5.181945956364409,wel_400862
0,8,238,119,-4.145556765091527,wel_400865
0,8,238,119,-260.29950928009697,wel_400866
0,8,223,125,-0.7780899131319414,wel_400870
0,8,324,143,-12.436670295274581,wel_400885
0,8,500,182,-207.27783825457635,wel_400890
0,8,501,181,-207.27783825457635,wel_400892
0,8,384,137,-10.363891912728818,wel_400896
0,8,285,57,-4.9746681181098324,wel_400906
0,8,274,51,-3.7310010885823743,wel_400908
0,8,273,50,-3.7310010885823743,wel_400909
0,8,290,42,-13.991254082183904,wel_400910
0,8,277,62,-89.54402612597698,wel_400911
0,8,277,62,-89.54402612597698,wel_400912
0,8,563,261,-4.622295793077052,wel_400928
0,8,560,269,-340.2672992787125,wel_400937
0,8,536,266,-4.269923468044273,wel_400942
0,8,566,205,-23.505306858068955,wel_400962
0,8,538,275,-10.363891912728818,wel_400966
0,8,540,275,-10.363891912728818,wel_400970
0,8,519,247,-466.37513607279675,wel_400971
0,8,520,247,-2.5909729781822044,wel_400974
0,8,445,179,-134.31603918896548,wel_401006
0,8,445,181,-134.31603918896548,wel_401007
0,8,550,237,-3.1091675738186453,wel_401010
0,8,505,163,-168.34997202171607,wel_401016
0,8,504,163,-166.34580260363256,wel_401018
0,8,483,186,-128.09770404132817,wel_401020
0,8,522,205,-46.740095409431866,wel_401040
0,8,522,205,-856.5319205992731,wel_401041
0,8,330,169,-179.08805225195397,wel_401119
0,8,304,118,-7.753973740130145,wel_401277
0,8,304,118,-7.753973740130145,wel_401279
0,8,304,118,-7.753973740130145,wel_401280
0,8,318,125,-107.6735822489135,wel_401281
0,8,441,113,-0.8427398708835437,wel_401290
0,8,363,81,-138.18522204842026,wel_401299
0,8,363,81,-138.18523241231216,wel_401304
0,8,331,65,-62.680818288183886,wel_401309
0,8,300,89,-37.68311099468198,wel_401314
0,8,370,8,-38.79308381853524,wel_401341
0,8,370,8,-97.9398149644786,wel_401342
0,8,351,59,-3.388992655462323,wel_401387
0,8,380,35,-57.265062930268314,wel_401395
0,8,380,36,-25.32487463340293,wel_401396
0,8,573,146,-9.831799338037406,wel_401404
0,8,408,21,-191.7320003854831,wel_401407
0,8,419,112,-15.776952658747078,wel_401411
0,8,408,99,-18.65500544291187,wel_401418
0,8,429,124,-1.241490612225785,wel_401445
0,8,396,69,-8.956475390980243,wel_401460
0,8,420,69,-8.291113530183054,wel_401470
0,8,639,4,-0.7565641096292036,wel_401687
0,8,777,196,-21.743932335824958,wel_402023
0,8,810,224,-492.4921436928734,wel_402027
0,8,816,222,-5.907418390255426,wel_402028
0,8,809,217,-56.742308222190275,wel_402029
0,8,812,227,-1.418557705554757,wel_402030
0,8,822,219,-291.01808490942517,wel_402031
0,8,817,216,-250.72327315273554,wel_402033
0,8,817,218,-136.18153973325667,wel_402034
0,8,812,215,-149.24004354329497,wel_402035
0,8,813,223,-522.3401524015324,wel_402036
0,8,736,137,-0.3316445412073222,wel_402045
0,8,747,148,-6.529251905019155,wel_402049
0,9,737,135,-2.269692328887611,wel_402057
0,8,732,139,-1.8914102740730092,wel_402058
0,8,210,16,-93.27502721455936,wel_402116
0,8,99,74,-8.083835691928478,wel_402146
